Date,Open,High,Low,Close,Volume,SMA20,SMA50,EMA20,EMA50,RSI,MACD,Upper,Lower
2023-06-16,186.6329258826113,187.61305254125742,186.22453873625983,186.67376708984375,8518319,191.1843994140625,,189.58097694794859,191.12020242080877,38.882287266045985,-1.8642000937358318,201.50128563395145,180.86751319417357
2023-06-19,186.6329083555022,186.87794311289863,185.08104233030053,185.53025817871094,8210198,190.71271057128905,,189.18802095474092,190.84554922934103,36.254495754831666,-1.9433068161448261,201.15708290064592,180.26833824193218
2023-06-20,186.02034087228304,186.02034087228304,184.18259875609144,185.61195373535156,5024593,190.22060317993163,,188.8417236560019,190.59092992937633,36.58424199701431,-1.97662204637831,200.65245924533465,179.7887471145286
2023-06-21,186.0611884809077,186.8779627828757,184.95853818805617,186.5920867919922,4705567,189.70807800292968,,188.62422238161744,190.3982009282351,40.55708734406999,-1.902010862739445,199.78954496999538,179.626611035864
2023-06-22,186.55124836348585,187.53138751083873,185.0810645684305,185.36692810058594,6566989,189.17309036254883,,188.30975225750552,190.15787103358736,37.402804521436856,-1.9196129265791058,198.9799185664142,179.36626215868347
2023-06-23,185.4894623234705,185.85700829323412,183.6108788010269,184.5093231201172,3881707,188.5360076904297,,187.94332435541426,189.89034339720666,35.33135750371618,-1.9799407194643663,197.80153940653287,179.27047597432653
2023-06-26,184.5909672459859,184.95851313949814,182.34483821976264,183.20245361328125,6145625,187.64572219848634,,187.48675989591828,189.5761498280299,32.38774905131689,-2.108894355809099,195.21262849520446,180.07881590176822
2023-06-27,184.87686764524594,185.2444135873604,182.87576064142547,183.896728515625,6282912,186.8636604309082,,187.14139388510443,189.31138912781674,35.46389131838103,-2.1305096700710067,192.28007038728617,181.44725047453022
2023-06-28,183.89672277504488,185.9386584597022,183.07994850118195,185.61195373535156,19512531,186.29191818237305,,186.9944012133209,189.1401976536172,42.43230942764146,-1.9863383498128826,189.04945928355352,183.5343770811926
2023-06-30,186.14284532093262,188.96072643461287,185.2035599250298,188.6748504638672,7850296,186.31846237182617,,187.15576668678764,189.118814649575,52.33072825969292,-1.6064136350873355,189.15586806659354,183.4810566770588
2023-07-03,189.08325360865595,190.92099581435565,187.73558097633764,189.2057647705078,7860203,186.34909133911134,,187.3524633398013,189.12278333487652,53.81318421433938,-1.2480929750422547,189.29519869915217,183.4029839790705
2023-07-04,189.69583880386367,190.14506717952733,188.10313134740824,189.3282928466797,3662791,186.43485412597656,190.62286712646485,187.5419087360593,189.132103548814,54.16743701728849,-0.943359813944312,189.61380742807918,183.25590082387393
2023-07-05,189.32827357415786,190.18588902894504,187.939759842257,189.00155639648438,4859892,186.5818717956543,190.6204165649414,187.68177188739367,189.1262191155084,53.00004119357388,-0.719922668781237,189.94475097767892,183.2189926136297
2023-07-06,189.00157703768858,192.7587439818518,188.67487228732105,191.61526489257812,7254947,186.74114379882812,190.6914761352539,188.05845929041976,189.23775967456424,60.359747830959634,-0.3281598668280026,190.6897523182665,182.79253527938974
2023-07-07,189.4916496602898,192.63623590062323,189.2466148620971,191.1251983642578,6393850,186.98209228515626,190.76090209960938,188.35198838985374,189.32186991291215,58.509739163798194,-0.056577111239704436,191.35992750299883,182.60425706731368
2023-07-10,191.9419578511447,192.4320274095763,190.18589811557356,190.92098999023438,6223180,187.231209564209,190.79357360839845,188.59776026604115,189.39275271772232,57.71591354584175,0.14055602767504638,191.90051677748275,182.56190235093524
2023-07-11,190.9618459864585,192.59539469042653,190.7168111882658,191.1251983642578,10775084,187.43540420532227,190.80827545166017,188.8394518711492,189.4691548801078,58.32483179896323,0.30969341674489215,192.40139505242854,182.469413358216
2023-07-12,191.9419738962733,193.8205574099833,190.83932352912095,191.451904296875,11313272,187.65797653198243,190.78050567626954,189.0891760040661,189.5561705503403,59.33381430637783,0.46474120717368805,192.91644876703623,182.39950429692863
2023-07-13,191.94196702057238,192.18700181149393,187.04132105408968,187.7764129638672,20205328,187.6967742919922,190.66615692138672,188.96373321734583,189.478426571608,45.87694987151149,0.28771961234463106,192.94671223768717,182.44683634629723
2023-07-14,187.8580675736175,189.5732983931794,187.65387402190703,188.71568298339844,7390502,187.79682846069335,190.5616098022461,188.94003799337196,189.44525630583024,49.05666851044109,0.22067614658826074,193.0443523196005,182.5493046017862
2023-07-17,188.674860521608,190.0225331115677,187.61305145464667,188.0214385986328,4963515,187.8642120361328,190.443994140625,188.85231319992587,189.3836006042012,46.86506372614009,0.11025306840366511,193.0868723772921,182.64155169497351
2023-07-18,187.61304638927612,189.85917562055673,185.85698670274215,186.42872619628906,6168942,187.9091354370117,190.3688507080078,188.62092470021247,189.25616629655266,42.20648882620245,-0.10457116532853661,193.06575878847877,182.75251208554465
2023-07-19,187.20465668440272,187.77639617009478,186.38788242970378,186.714599609375,5247533,187.9642677307129,190.24225067138673,188.438963888042,189.1469836593363,43.29601714627723,-0.2488843392562501,193.04448234471036,182.88405311671542
2023-07-20,186.75544340868396,188.42983325840996,186.0203515053833,187.65390014648438,3195629,188.0173583984375,190.13116973876953,188.3640446539727,189.08308178530694,46.84205305879334,-0.2841839701224558,193.0611660424725,182.97355075440248
2023-07-21,187.53137508319185,188.26646693200522,186.6737596175855,187.0413055419922,3903407,188.1010772705078,190.01437042236327,188.23783896366783,188.99600860935374,44.87121615586282,-0.3574697579671806,193.02017676480799,183.18197777620762
2023-07-24,187.04131058695697,189.4916334330743,186.67376465263666,188.63401794433594,3456895,188.30731201171875,189.94739501953126,188.2756327571885,188.98062399972275,50.68121457836997,-0.2837596877672297,192.94456058580766,183.67006343762984
2023-07-25,189.73665463526754,189.77749583904475,186.91878605643888,187.81723022460938,11024983,188.53805084228514,189.8207943725586,188.23190999424943,188.93134160353245,47.89360679819032,-0.2879327592665959,192.5539234603044,184.5221782242659
2023-07-26,188.30730543841068,188.838203714612,186.95962045092233,188.26646423339844,7574284,188.75653762817382,189.65008850097655,188.23520533241611,188.9032651124275,49.537602377869675,-0.2520846435377564,192.16867248057335,185.34440277577428
2023-07-27,188.67487607938193,189.40996801397668,186.3470641815192,187.08216857910156,7837850,188.83004837036134,189.44507843017578,188.12525772712348,188.8265946735119,45.46511179433586,-0.3155994809187348,192.0244293283547,185.63566741236798
2023-07-28,187.5313765843357,187.81724009983535,185.28524735133206,185.48944091796875,8817344,188.6707778930664,189.24088470458983,187.873949237664,188.68650058203738,40.62769647685801,-0.48882044065609875,192.1821473861844,185.1594083999484
2023-07-31,186.6329027548221,187.8172228398815,185.2852303240623,187.2454833984375,19422170,188.5727638244629,189.06691131591796,187.81403531454478,188.6261732883344,47.28703014296115,-0.4788811036532934,192.12808931928046,185.01743832964533
2023-08-01,187.85807301338315,197.08762431055086,187.0004575787684,196.3116912841797,22409256,188.92193374633788,189.09386444091797,188.6240702365962,188.94707278374406,67.53374053188605,0.257593719398443,193.8226169294666,184.02125056320918
2023-08-02,196.96510440025213,198.5986528919415,189.7366598023182,191.57440185546875,25003960,189.05057601928712,189.01627044677736,188.90528486101857,189.05649599963542,55.531431970910305,0.4537649372267367,194.08608490961294,184.0150671289613
2023-08-03,191.57442560193206,192.02365398542761,187.40887144659166,187.89894104003906,13949266,188.86475982666016,188.8373974609375,188.8093714137364,189.0084030371827,48.35149760630998,0.30909007204678574,193.78085237832246,183.94866727499786
2023-08-04,190.14505690853983,193.16711928423715,188.26647355186748,190.92098999023438,6725977,188.85454940795898,188.7344836425781,189.01061306563756,189.08768050870717,53.657149208870266,0.4332935546473493,193.752635665527,183.95646315039096
2023-08-07,191.73777441502898,192.75874232991197,189.7366797944557,190.267578125,6744074,188.82187881469727,188.59481567382812,189.13039679100814,189.13647867349974,52.40368192678413,0.4735421337641412,193.67288636065533,183.97087126873922
2023-08-08,190.3084157473619,192.26866912179656,187.28635326886385,188.06228637695312,13828141,188.66873321533203,188.33589813232422,189.02861604759278,189.09214723597734,48.30241555808127,0.32375872002270967,193.41139068318063,183.92607574748342
2023-08-09,190.51261619104744,192.51371084600865,188.34816915949526,191.73777770996094,35271302,188.68302688598632,188.1798944091797,189.28675981559797,189.20110743710725,54.67001561830613,0.4959190723453162,193.4607440385009,183.90530973347174
2023-08-10,191.7377641105477,193.41215389356725,191.4927293315471,191.8602752685547,10749822,188.8872200012207,188.0761639404297,189.53196685054783,189.31040992666703,54.869529035058456,0.6349229248808115,193.83842122641306,183.93601877602833
2023-08-11,191.12518339453953,192.43202724055152,190.92098982253682,191.8602752685547,6132454,189.04444961547853,188.15049011230468,189.75380081276802,189.41502210166436,54.869529035058456,0.7365934882646741,194.160838527668,183.92806070328905
2023-08-14,192.75871841825264,192.92207077177264,188.42981250355066,191.04348754882812,6092872,189.19555206298827,188.19949615478515,189.87667337581203,189.48171165326212,53.06346447276468,0.7426988296469403,194.36043617842378,184.03066794755276
2023-08-16,191.12519153692114,191.77861348776443,189.57332530878202,190.34925842285156,4576249,189.3915786743164,188.25422058105468,189.9216964785926,189.51717817182524,51.51149037656021,0.6836383112257636,194.41725920476335,184.36589814386946
2023-08-17,190.88012745080223,191.04347979769463,188.75652201523076,189.7366485595703,5602132,189.54268112182618,188.3277294921875,189.90406755224004,189.52613550625247,50.118485478465175,0.5807059124149703,194.4167664983717,184.66859574528067
2023-08-18,189.90289986095013,190.27688553009574,188.65627250956533,189.03025817871094,6904019,189.6114990234375,188.3397381591797,189.82082490494403,189.5059293464981,48.49013677622856,0.4370929096039049,194.41532888964733,184.80766915722765
2023-08-21,189.03026804562106,191.81440768157861,188.65628235695434,191.23265075683594,4955953,189.8210662841797,188.4382666015625,189.95531770288144,189.57618264288337,53.556633937989204,0.4952839203618282,194.52272081407838,185.119411754281
2023-08-22,191.48194238141517,192.85323997850116,190.90018552871882,191.7728271484375,4280368,189.97800674438477,188.55495025634767,190.12845250093065,189.66542399748832,54.73268899053303,0.5783219011077847,194.72006235649476,185.23595113227478
2023-08-23,192.1883609502664,192.39613215129373,191.39883292263215,191.89747619628906,2524601,190.18201904296876,188.6520736694336,190.2969649926993,189.75597610623484,55.01576453853599,0.6467330989440825,194.88560160502993,185.4784364809076
2023-08-24,192.68700956291596,193.35186723579073,189.90287050270072,190.52618408203125,6378317,190.29500503540038,188.72258819580077,190.3187993732466,189.78718043875588,51.220946506031325,0.5835706140723005,194.91695759349872,185.67305247730204
2023-08-25,190.3184347149317,191.23263314199707,189.07180741330552,189.23802185058594,3890957,190.4027976989746,188.76733947753905,190.2158511549711,189.76496058944366,47.879901558757304,0.424674579096461,194.81584058202498,185.98975481592424
2023-08-28,189.9029004667414,191.1910846035515,189.07181556316704,190.6924285888672,3360861,190.66294708251954,188.8468960571289,190.2612462744848,189.80244075457944,51.70985282212685,0.41136483760686815,194.4567313304165,186.86916283462259
2023-08-29,190.69241351368072,191.48194157339037,190.11065666343927,191.1079559326172,3112560,190.8560707092285,188.93557983398438,190.3418962079014,189.85513528748942,52.77751839619954,0.4293965395012549,194.31257283533043,187.39956858312658
2023-08-30,191.23261099354937,191.77281102248227,189.90287028661842,190.1106414794922,4086281,190.54601821899413,189.0271875,190.31986925005208,189.8654364696957,49.92448104025083,0.35907268530027636,192.93793179115517,188.1541046468331
2023-08-31,190.31842893573116,191.52349942110695,189.81977295768337,191.19107055664062,10403460,190.52685165405273,189.13876983642578,190.4028499990659,189.91882296048055,52.89527028267879,0.3860717266497886,192.89148376724674,188.16221954085873
2023-09-01,191.7312789740322,197.17488746562262,191.6897221938287,196.88400268554688,14869577,190.97610473632812,189.34460815429688,191.02016453188637,190.1990314882051,64.75895481849733,0.8569621798517346,194.36515515073756,187.58705432191869
2023-09-04,198.42150499996274,206.89856780819412,197.92284902480574,205.9428253173828,24785966,191.72719650268556,189.75612609863282,192.44149926073786,190.83176111175322,75.38335413655741,1.9387686174657972,199.07764171428155,184.37675129108956
2023-09-05,207.2310051138906,212.67460054439215,205.69349312305783,212.21751403808594,19654487,192.82469329833984,190.3102899169922,194.32508383968283,191.69040040082228,79.90289416723965,3.26478850365865,204.34665377915212,181.30273281752756
2023-09-06,212.71614934510995,214.25364859694045,209.8904661332313,212.59149169921875,13346191,194.05115356445313,190.89807067871095,196.0648709288898,192.5287971189807,80.1369659725775,4.296320381721671,208.2055844626279,179.89672266627835
2023-09-07,212.75772696167883,228.34056829187992,211.7604276528157,227.71725463867188,72255521,195.85012741088866,191.77448120117188,199.07958621663067,193.9390321399008,86.82218155507915,6.262153279855937,216.17286387007744,175.52739095169989
2023-09-08,228.2158697125323,236.4020592960102,225.14084609634088,234.44900512695312,41855413,197.97956390380858,192.7512222290039,202.448307085776,195.56113904851702,88.65264070341256,8.26797791672027,224.24106626457473,171.71806154304244
